[2024-05-22 05:12:49,674] HTTP/1.1[127.0.0.1] 22ms 404 GET /status
[2024-05-22 05:12:50,720] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:12:51,766] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:12:52,810] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:12:53,015] HTTP/1.1[172.26.0.1] 3ms 404 GET /
[2024-05-22 05:12:53,225] HTTP/1.1[172.26.0.1] 2ms 404 GET /favicon.ico
[2024-05-22 05:12:53,900] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:12:54,945] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:12:55,985] HTTP/1.1[127.0.0.1] 0ms 404 GET /status
[2024-05-22 05:12:56,184] HTTP/1.1[172.26.0.1] 2ms 404 GET /
[2024-05-22 05:12:57,034] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:12:58,072] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:12:59,119] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:13:00,162] HTTP/1.1[127.0.0.1] 0ms 404 GET /status
[2024-05-22 05:13:01,223] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:13:02,277] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:13:03,322] HTTP/1.1[127.0.0.1] 0ms 404 GET /status
[2024-05-22 05:13:04,374] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:13:05,423] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:13:06,470] HTTP/1.1[127.0.0.1] 0ms 404 GET /status
[2024-05-22 05:13:07,527] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:13:08,591] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:13:09,663] HTTP/1.1[127.0.0.1] 0ms 404 GET /status
[2024-05-22 05:13:10,719] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
[2024-05-22 05:13:11,778] HTTP/1.1[127.0.0.1] 1ms 404 GET /status
